notation,prefLabel,prefLabel_en,altLabel,definition,type[Overall],type[Terms],broader,scopeNote,source,sub-profile,macheco-id,howto,Verpflichtungsgrad,Feldwert,Wiederholbar,Unsicher,Empfohlene Vokabulare,relatedEntity_Entity,exactMatch_URI,DataCite,DCAT,schema.org,DublinCore,NFDI core,CIDOC CRM,Wikidata
R7HUAW,Netzwerke und Services,Netzwerke und Services (Matrix PROV-RES),,"Es gibt verschiedene Anlaufstellen und Netzwerke in Deutschland, die im Bereich der Provenienzforschung in verschiedenen Entzugskontexten unterstützen. Diese gewähren finanzielle Förderungen, geben wichtige Empfehlungen für die Praxis oder unterstützen die Vernetzung unter den Provenienzforschenden.",Class,,AVVZYP,subclass of dcat:Resource for OCMDP sub-profile,Matrix PROV-RES v1,,macheco:F-R7HUAW,,,,,,,,,,,,,,,
YBBA5L,Digitale Anwendungen,Digitale Anwendungen (Matrix PROV-RES),,"Unter digitalen Anwendungen sind Vokabulare, Ontologien, Thesauri, Metadatenstandards, Tools usw. zusammengefasst, die für Provenienzforschung und das Sammlungsmangement relevant sind bzw. benutzt werden können.",Class,,AVVZYP,subclass of dcat:Resource for OCMDP sub-profile,Matrix PROV-RES v1,,macheco:F-YBBA5L,,,,,,,,,,,,,,,
E5JM9H,Empfehlungen,Empfehlungen (Matrix PROV-RES),,"Handreichungen, Empfehlungen, Linklisten, Übersichten und Leitfäden zu Sammlungsmanagement, Provenienzforschung und zur digitalen Datenerfassung.",Class,,AVVZYP,subclass of dcat:Resource for OCMDP sub-profile,Matrix PROV-RES v1,,macheco:F-E5JM9H,,,,,,,,,,,,,,,
YLF126,data set (BFO / IAO),data set (BFO / IAO),,A data item that is an aggregate of other data items of the same type that have something in common.,Class,,DGSLS7,,BFO / IAO,,macheco:F-YLF126,,,,,,,,http://purl.obolibrary.org/obo/IAO_0000100,,,,,,,
MRGLEV,dataset (NFDIcore),dataset (NFDIcore),,"An information content entity that refers to a structured collection of data, organized typically for a specific goal such as analysis, research, or reference. Dataset is structured information about a resource provided by an organization or a person.",Class,,YLF126,,NFDIcore v3.0.1,,macheco:F-MRGLEV,,,,,,,,https://nfdi.fiz-karlsruhe.de/ontology/NFDI_0000009,,,,,,,
H5KD3F,Dataset (DCAT),Dataset (DCAT),,"dcat:Dataset represents a collection of data, published or curated by a single agent or identifiable community",Class,,MRGLEV,,DCACT v3,,macheco:F-H5KD3F,,,,,,,,,,,,,,,
MGQGXG,Recherche und Ressource (Matrix PROV-RES),Recherche und Ressource (Matrix PROV-RES),,"Datenbanken, Archive und weitere Digitalisate mit einer Relevanz zur Erforschung von Provenienzen von Objekten und menschlichen Überresten.",Class,,H5KD3F,subclass of dcat:Resource for OCMDP sub-profile,Matrix PROV-RES v1,,macheco:F-MGQGXG,,,,,,,,,,,,,,,
BZ1YP5,DataService (DCAT),DataService (DCAT),,dcat:DataService represents a collection of operations accessible through an interface (API) that provide access to one or more datasets or data processing functions.,Class,,DGSLS7,,DCACT v3,,macheco:F-BZ1YP5,,,,,,,,,,,,,,,
G7Q645,Catalog (DACT),Catalog (DACT),,"dcat:Catalog represents a catalog, which is a dataset in which each individual item is a metadata record describing some resource; the scope of dcat:Catalog is collections of metadata about datasets, data services, or other resource types.",Class,,DGSLS7,,DCACT v3,,macheco:F-G7Q645,,,,,,,,http://www.w3.org/ns/dcat#Catalog,,,,,,,
PD7I1U,Concept (SKOS),Concept (SKOS),,"A SKOS concept can be viewed as an idea or notion; a unit of thought. However, what constitutes a unit of thought is subjective, and this definition is meant to be suggestive, rather than restrictive.",Class,,FA2GRP,,W3C Recommendation 18 Aug 2009,,macheco:F-PD7I1U,,,,,,,,,,,,,,,
